Hour,BE,DE,DK,ES,FI,FR,GR,HR,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,UK
2841,73.22,19038.13220681315,2370.0116274561783,1879.1935975850135,832.9421931796709,2048.7080354794502,1912.9709949733442,462.67088623423274,3001.3098082513984,5176.016709871991,66.42080391819852,197.42991953848804,3676.6343396407988,136.42967396304428,874.9205806900237,50.573005947717,949.9933408248028,117.41750915786687,9683.257181409313
2842,70.14,17155.000315093865,2221.4195541599,1868.5097067594113,811.2106729506925,1922.1879683007685,1998.2387878854154,462.4751509019842,3093.060451639423,5193.7061313899285,215.49978937494436,197.16867278710677,2997.756489627203,82.01662726824732,916.1210173761169,29.1399758127486,950.0,131.11331278952244,10006.72360795064
2843,238.98,14574.194966237157,2541.5897250049247,1886.020226671893,787.6414841894303,1543.0635749405144,2265.735780797927,454.7983941978186,4299.940023558908,5562.901054273845,445.2388653036229,215.32582094066646,2104.00824343635,33.99902541841213,1194.4089619078877,25.026539833944,950.0,146.66376377220467,10346.975994002454
2844,293.44,13118.894566436811,2083.977258226981,1875.1499088716841,777.6693848296441,1334.5729296528423,2452.838555152121,435.39769202153906,4259.34038820942,5355.389746370179,412.86156530407123,220.91137287698538,1602.8761875152532,29.067385609562542,1239.9794824382861,4.8061154472652,950.0,95.44227809113715,10092.593114364521
2845,221.76000000000002,12143.564888375482,1706.7946737969223,1846.0997270686476,772.7707619037719,1180.9278074188437,2537.4147616744112,424.9537209863628,4108.963267675954,4935.798755189473,434.3021464561466,223.79360817129628,1523.2222757101606,106.72068685730122,1637.194645173719,3.037629142217,950.0,47.54488977432216,9123.176869484938
2846,132.44,11777.511406303593,1632.2049569726464,1799.8833502971092,768.8765879176121,1047.2252326538883,2542.575190454412,425.16972913376037,3889.607081721309,4438.780668681875,434.2003965324782,233.46556306682052,1759.3760904705255,256.0119211950687,2016.2009229254138,2.1573868844972,950.0,35.61710539180338,8447.615754637854
2847,36.82,12378.280457094554,1739.2521907806313,1740.8330084456063,773.6980189403389,885.850122285987,2353.097926400837,422.17178808755,3567.84221390337,3982.8959149426587,463.3640631338607,242.58778391470963,1917.6675764346355,398.5878884969504,1913.5333349592113,0.15883824919940998,950.0,33.69185129207382,8570.948387727096
2848,0.0,14376.822625485394,2097.140270238053,1665.89167805477,792.0948295483405,842.606078426355,1993.7481938921935,418.2883973554802,3268.473606545808,3678.4031799707163,421.11777148279634,251.68349571663623,1550.2095000581849,531.5270438768781,1838.5776701650366,0.16416271992833997,950.0,35.7283574535618,9561.910633865773
2849,15.399999999999999,15918.021586105693,2765.6008251589565,1619.3502008846563,818.1700986888787,954.884423280828,1930.8561394875371,420.9523001927675,2917.2599845650407,3646.9619784015713,370.82875005466104,253.12800619837355,1146.5768380369034,607.5589942731741,2620.0605809459776,1.5622652279754001,950.0,72.30809713730604,10205.084916967697
2850,213.08,16505.30812938798,3522.7904349377955,1645.2037055562866,829.3803707780202,1153.119795312208,1769.220290877477,417.44444451492205,2877.791675944847,3734.827444370072,390.7375174542045,252.05319372338076,836.1053022860108,581.6074929381265,4737.872894590077,12.216955215189401,950.0,152.46114684936384,9947.595375270002
2851,558.4599999999999,17015.58696168317,4060.882588912187,1695.1751040125582,826.0541648243099,1382.6310151936666,1686.6937906181263,397.8998663487385,3076.465685911691,3805.266168240993,425.6317472020329,270.2778901306859,681.2704279369796,554.618226853346,6694.506050205494,48.058097405625205,948.0729430904968,272.4596802720592,9347.216815897891
2852,661.64,17525.158985792048,4073.6286844584074,1730.3752790565088,819.7570430093422,1668.0305400838417,1568.3305151529923,356.25530111467066,3114.1226810803823,3726.1927003897376,483.1752705908331,290.37553096954025,509.55559471789644,502.4290483386395,7833.201101555923,112.19073277569281,946.2261836728298,335.9206612392711,9132.081142688727
2853,616.4432235754003,17338.827320497425,4028.294789512971,1752.7239402711741,820.9561343756961,2089.043806396126,1417.6831662207173,305.2178101361276,2859.5451673070406,3599.0406262687766,563.8430829570613,296.38464510629973,430.9012396448373,442.18271781457605,8079.368908283965,189.6657442037698,949.6040348921389,319.56507976307535,9213.106238100216
2854,565.8063233544226,17233.219113241175,4057.258335145981,1775.459693315201,828.6126179275606,2419.0723340729705,1311.2079083328535,235.1432033858662,2198.840576946443,3579.7516908099683,622.6690350419874,295.0215711255122,379.8939429811568,435.90029776152295,7414.2392206655395,255.5508261474626,950.0,287.76864675588547,8916.804568047903
2855,505.996264719558,14501.01205675851,4086.5707196357207,1674.7492902212407,844.7517919081281,2381.7789138825283,1320.8908703849256,154.3958177467126,2035.2669402982865,3701.259743953551,678.9004344740424,283.6162583105101,245.27575319132922,310.93206294198166,6740.707356294019,189.16739347403842,949.80912342289,297.03776938053704,9831.204533787006
2856,525.7378146253498,14420.162631255986,4179.526939481331,1693.2048066645673,847.9146611561564,2278.89404159979,1438.7864450484312,102.46659546354479,1542.7078779878432,3450.1636710558805,608.7946086070891,247.0496714998816,180.35896881149296,299.59669456196633,6169.33159871141,173.860326994084,946.2097987211712,276.4237280955838,10868.461347590488
2857,689.1539486771434,14896.562890482528,4699.498746742024,1748.269348576858,850.8867677612582,2197.902650002668,1652.759985195954,72.76131822290185,1378.3509883190245,3230.3895214833665,678.8152761020053,207.1697946045128,162.16265063339122,287.9381054271415,5629.205044406887,146.90492917584243,893.4386682967316,310.0182667021123,11611.063833846665
2858,894.8157996759405,15537.522813881995,5581.051006870235,1817.5373721785957,866.108567987447,2080.694332030688,1874.7196390129563,51.10918953440795,1283.8236974543368,2981.9934010960146,703.8337860640868,184.30179313112075,175.13005249824934,281.01101806359213,5082.734243341457,125.44134636779961,718.731312455392,298.39168451834297,11501.05454894427
2859,1177.0783882141081,16488.409277052688,6178.354517969578,1824.0112578352332,889.8819044589271,1975.1521386718464,2030.4125150321113,29.488171232387977,1189.291238305163,2734.273194136006,625.8902892088765,157.0973384893647,212.9013173398155,266.49012391214126,5174.93778923697,124.001925736361,510.2182806010873,337.4187523830631,10787.858867897825
2860,1496.913374596462,17351.07736939412,6618.766031250511,1797.3569358138918,916.9719616539898,1947.8748533981382,2110.1859509778747,16.318674329046846,1163.1470682772917,2528.6982639946264,638.3991275218513,135.190638294898,271.93852953460004,224.70283654284626,4765.995494219819,146.52620994688039,306.2800201662661,368.8267098233316,10594.940705893965
2861,1649.4048931025457,17490.286741705553,6782.786645086213,1772.6471050662985,930.3920627932793,1909.7486324817512,2103.6561069586915,13.503259136498313,1373.7944010947222,2418.254000092458,700.7793518435723,137.59059333585074,344.0431822104323,158.76983508187777,4109.5058489231915,164.4535751193766,152.5864181424991,389.50754143779244,10366.641884912258
2862,1628.7471542281369,16593.977412461045,6700.325577693233,1765.570240177918,934.0322097970776,1762.0709337448575,2205.4780927353236,11.360403734691312,2077.60160738094,2163.9671456579545,665.9918386627544,136.93082023346332,400.29850516348654,91.90749486083655,3964.975870481033,171.5978253906328,69.1822973215834,416.50995214997596,9618.452668606984
2863,1458.7556626104451,15583.030279980805,6577.679172695694,1761.715098613304,934.786726566074,1719.1653615319397,2370.0863558577084,7.487330683698465,2595.1527660572933,1984.2981089952293,658.5779099567064,130.35940356298605,411.7567078403774,54.73689332637635,3329.2301077581783,178.1743997661524,38.641088676922,464.6940185507934,8636.490961499914
2864,1342.0950182097172,14189.914501337473,6429.004819137578,1761.0253583540964,932.2930595115198,1783.9320090346096,2465.9870659912926,6.459604031629929,2902.298604225145,1938.2924707899997,668.8475822021366,103.5208280691936,464.23713991549886,26.915942310846656,2774.5686785195917,176.50631499127618,43.513502184394895,480.78432939492285,8786.67470047059
2865,1336.860305255995,13356.919973000224,6317.67666772182,1767.5921782293758,922.2675797684105,1702.2909502468767,2449.1458948466156,10.067018917238235,2973.1462431583645,1931.9191660130732,605.8597606098422,79.1706811006863,545.7992426252273,10.78193940548244,2495.455532517691,181.6902639005184,61.8094101392059,460.27242024111246,8866.24334927047
2866,1348.3526561241972,12233.10294182611,6239.56199394018,1717.990587431647,920.0839128898343,1482.561365996385,2354.3796126766324,16.93091743702413,3172.8644736118795,1965.5933654641094,527.1163633177687,55.38874362308515,712.7024707559906,4.70050472974782,2484.1996535238954,195.8988372581858,96.10666072868949,430.6417956888238,8561.567828767536
2867,1430.7366243137383,11295.297536091452,6204.885518766017,1500.2790589957162,923.5248209638044,1644.0874933398297,2312.83641711444,15.638580789769183,3554.275433754153,1884.535990320801,321.4605906110827,14.8457853682488,66.0221121640853,20.639815092007222,1583.7022497441571,189.4344480960958,95.26042765384369,429.2936115645391,9204.735704252273
2868,1458.0083184651949,9541.791205893482,6116.272769068339,1459.7229875286648,925.578243986252,1706.1227838405514,2072.8611090049003,26.110296196901047,3606.102738973361,1716.634001679288,211.5345331225648,10.5389220616517,129.98422776802957,33.37121076148797,1377.5316476966416,273.4983028864682,141.5073925846228,364.0637095527031,8809.057013381796
2869,1505.915164600366,8557.984619172614,6100.672889669579,1439.6849340828812,933.341749086126,1951.364381415634,1784.0996710069448,33.17832675435559,3922.789326115316,1616.9698120266867,114.67996680788173,6.03770538239305,228.89148198565522,79.65937544427292,1064.6032247229687,373.238024016034,173.82459687068268,322.1505698357567,9254.32448462228
2870,1528.6450431075255,8412.795481195755,6166.4897334526095,1449.6882219657643,934.1719240637524,2055.320893589363,1588.578175485915,39.58881981740665,4560.257936708655,1669.9228429262655,82.42553881310728,4.538651398907549,381.13293613516197,167.19888339831218,594.7541753623749,453.3097668925638,218.4852106177513,304.74391608044647,9200.097383432343
2871,1495.5495014302242,9146.463453499187,6270.630891961204,1562.9144696975063,929.1892229449433,2140.3611952836254,1485.0141831164851,35.92065893464903,4721.068713615455,1842.8005993426075,68.82596626869362,8.3228381008668,673.1966599722107,316.433934447162,178.8997426912597,532.1285723448345,265.4436387648165,287.8690479361496,9119.306308906544
2872,1462.6964353328185,10151.888936852796,6399.211564283911,1721.9163687390296,924.9285812875112,2210.2159827577248,1380.4664892775077,26.744003394640472,4724.203247527398,2018.9171863417077,29.92896458005524,16.380132722386648,841.8693482702464,514.572540308477,10.187957945127549,621.8366572353522,353.3013383001891,288.76545080467594,9884.012823177463
2873,1478.3223144002163,10198.098825214392,6586.772717117402,1862.8201938670948,930.3549140711287,2241.5269205639233,1378.366357406683,26.0640684256615,4709.6699634204215,2117.406231233696,11.829497483796722,24.1628376897523,902.1363709877616,637.544270657421,30.50289780896334,689.4750834231104,441.62135309826823,313.1554647771246,10872.781675510178
2874,1714.0529044970074,9666.937040848088,6739.845211013697,1982.3481989706947,937.5730228476273,2305.963071775734,1389.718460822366,36.33559824178157,4706.54054830087,2227.820934387274,2.45807304242192,22.448240171741197,1059.8139908095839,648.5314400432868,72.54522972361472,741.7547492433808,540.1088726340628,334.78956034531024,13937.621176014578
2875,2126.213860255546,9394.638343323317,6813.765399435846,2018.6418150395623,946.922937694762,2347.5929542905355,1302.4447018101594,69.13850499038952,4646.091373587442,2404.1754742932662,0.0,18.323225789469053,1706.581966119677,623.301554397001,121.0812243302253,756.4221497809738,626.2934705349942,346.1556817483013,16868.882224703157
2876,2639.9152841397445,8388.708177731663,6721.61719841018,1962.3149910689212,948.973298054973,2402.5309064079825,1166.8592441495996,145.3638421618134,4470.741488006784,2495.713896284322,0.5465736876845,25.15324052546215,2436.6763962580562,454.15733924331346,139.85097790994539,838.9948584407105,632.7496550354531,338.9357893656561,20887.50249471053
2877,3134.215041015773,6869.920754827477,6461.141301786223,1900.7813385977286,947.9270134440033,2435.3750733911984,969.606886137388,218.187411605597,4389.099969952804,2449.8491543746627,6.3667029804621595,44.92442736110845,3383.2024474072937,256.7546228556628,127.79896410595899,914.2248797440866,677.6260131957436,320.3793778445439,26036.171425500175
